,parkmeter_id,user_type,payment_method,amount,duration_hours,parking_start,parking_end,parkmeter_address,arrondissement,system,residential_area,hourly_rate,parkmeter_coordinates
6668307,21190302,Rotatif,Paris Carte,2.1,1.75,2014-04-02 14:05:13,2014-04-02 15:50:13,28 SQUARE DE CLIGNANCOURT,18,MIX,18M,2.4,"48.8935400004, 2.34660299984"
22288883,59970704,Rotatif,CB,7.2,2.0,2014-10-20 12:00:12,2014-10-20 14:00:12,60 AVENUE MARCEAU,8,MIX,8F,4.0,"48.8706200003, 2.29796500022"
6976681,38320103,Résident,Paris Carte,0.65,10.0,2014-04-28 11:29:31,2014-04-29 11:29:31,9 RUE FREDERIC BASTIAT,8,MIX,8F,4.0,"48.8728220001, 2.30715399985"
2708695,35890102,Rotatif,Paris Carte,0.9,0.75,2014-07-29 12:55:16,2014-07-29 13:40:16,4 RUE FERDINAND GAMBON,20,MIX,20K,2.4,"48.8532740004, 2.40741099982"
24178792,62630202,Rotatif,Paris Carte,0.9,0.75,2014-09-25 18:01:45,2014-09-25 18:46:45,4 RUE MENDELSSOHN,20,MIX,20J,2.4,"48.8556329999, 2.41069199981"
11888960,36630501,Rotatif,Paris Carte,1.2,0.5,2014-06-03 10:37:56,2014-06-03 11:30:00,80 vis-à-vis BOULEVARD FLANDRIN,16,MIX,16J,2.4,"48.8697230002, 2.27493900005"
5975157,33921004,Rotatif,CB,0.9,0.25,2014-06-06 10:19:52,2014-06-06 11:15:00,54 RUE ETIENNE MARCEL,2,MIX,2E,4.0,"48.8656439996, 2.34199399944"
15650992,25841101,Résident,Paris Carte,0.1,1.54,2014-02-19 16:15:05,2014-02-19 17:47:23,105 AVENUE DAUMESNIL,12,MIX,12G,2.4,"48.84513, 2.38006999966"
16932324,36630111,Rotatif,Paris Carte,4.8,2.0,2014-01-13 10:37:40,2014-01-13 12:37:40,23 terre-plein BOULEVARD FLANDRIN,16,MIX,16L,2.4,"48.8662650002, 2.27224599992"
22020192,98410805,Rotatif,CB,1.8,0.75,2014-10-30 11:18:07,2014-10-30 12:03:00,85 AVENUE DE VILLIERS,17,MIX,17J,2.4,"48.884064, 2.30298200033"
18387330,98380603,Rotatif,CB,4.8,2.0,2014-06-01 17:28:35,2014-06-01 19:28:35,100 terre-plein BOULEVARD DE LA VILLETTE,10,MIX,10E,4.0,"48.8769009999, 2.37131400017"
18316231,99072004,Rotatif,Paris Carte,3.0,1.25,2014-04-12 17:55:04,2014-04-12 19:10:04,164 BOULEVARD VOLTAIRE,11,ROT,11K,4.0,"48.8557139999, 2.38340800038"
3727634,1050202,Rotatif,Paris Carte,2.4,2.0,2014-07-18 11:34:01,2014-07-18 13:34:01,26 RUE ALAIN,14,MIX,14N,2.4,"48.8367549998, 2.31603100021"
9889222,54850102,Rotatif,Paris Carte,1.8,0.75,2014-04-22 14:08:30,2014-04-22 14:53:30,8 RUE LEGRAVEREND,12,MIX,12E,2.4,"48.8467530001, 2.37560400048"
24061691,56960302,Rotatif,CB,2.7,0.75,2014-09-30 16:33:36,2014-09-30 17:18:36,119 RUE MARCADET,18,MIX,18N,2.4,"48.8912291202, 2.34215594054"
19223407,81370102,Rotatif,Paris Carte,1.8,1.5,2014-11-21 18:30:59,2014-11-22 10:00:59,8 RUE DU RENDEZ VOUS,12,ROT,12R,2.4,"48.8451369997, 2.40484900061"
21744727,8332401,Rotatif,CB,2.4,2.0,2014-10-16 10:12:27,2014-10-16 13:00:00,269 RUE DE BELLEVILLE,19,MIX,19N,2.4,"48.8757739996, 2.40035999958"
4323207,75641803,Résident,CB,0.65,10.0,2014-04-24 11:56:10,2014-04-25 11:56:10,149 RUE DES POISSONNIERS,18,MIX,18M,2.4,"48.8964530002, 2.35267199982"
17316867,82080103,Rotatif,CB,4.8,2.0,2014-10-12 15:55:05,2014-10-12 17:55:05,1 terre-plein BOULEVARD RICHARD LENOIR,11,ROT,11G,4.0,"48.8543439997, 2.36953500043"
16487605,65940501,Rotatif,CB,0.3,0.25,2014-11-18 18:24:16,2014-11-18 18:39:16,27 RUE DU MOULIN DES PRES,13,ROT,13L,2.4,"48.82868, 2.35287800049"
11011483,19590201,Rotatif,CB,4.8,2.0,2014-05-28 10:30:21,2014-05-28 13:00:00,7 RUE DE CHAZELLES,17,MIX,17J,2.4,"48.8797399999, 2.30383499971"
6026258,97831203,Rotatif,CB,7.2,2.0,2014-05-30 11:20:19,2014-05-30 13:20:19,119 RUE VIEILLE DU TEMPLE,3,MIX,3E,4.0,"48.8608959999, 2.362354"
648011,13940301,Résident,Paris Carte,0.65,10.0,2014-07-29 11:45:53,2014-07-30 11:45:53,7 RUE DE LA BUTTE AUX CAILLES,13,MIX,13L,2.4,"48.8278210001, 2.35104500024"
313325,38960303,Rotatif,CB,7.2,2.0,2014-03-09 11:17:13,2014-03-09 13:17:13,38 vis-à-vis AVENUE GABRIEL,8,MIX,8H,4.0,"48.8692349998, 2.31400000018"
18646342,41730102,Rotatif,CB,1.2,1.0,2014-11-19 09:19:06,2014-11-19 11:00:00,8 RUE GERICAULT,16,MIX,16W,2.4,"48.8483250004, 2.26270899979"
10077788,91290302,Rotatif,CB,7.2,2.0,2014-10-07 16:47:01,2014-10-07 18:47:01,30 RUE DE SURENE,8,MIX,8H,4.0,"48.8714440001, 2.31932700027"
7844865,41410304,Rotatif,Paris Carte,0.6,0.25,2014-10-06 12:16:38,2014-10-06 12:31:38,44 AVENUE GEORGES MANDEL,16,MIX,16K,2.4,"48.8639290004, 2.27997600063"
19738273,41770102,Rotatif,CB,2.4,2.0,2014-11-28 14:39:05,2014-11-28 16:39:05,0 RUE GERMAINE TAILLEFERRE,19,MIX,19K,2.4,"48.8888319997, 2.38656200039"
9679701,51010104,Rotatif,Paris Carte,0.3,0.25,2014-09-04 11:22:51,2014-09-04 11:37:51,15 vis-à-vis BOULEVARD JULES SANDEAU,16,MIX,16N,2.4,"48.8617870004, 2.27300400027"
7621646,61740202,Rotatif,CB,0.9,0.75,2014-09-07 15:14:16,2014-09-07 15:59:16,42 RUE MATHURIN REGNIER,15,MIX,15J,2.4,"48.8389690002, 2.3084170006"
23510495,47631001,Rotatif,CB,1.2,1.0,2014-09-27 15:27:38,2014-09-27 16:27:38,117 AVENUE D IVRY,13,ROT,13M,2.4,"48.8256819996, 2.36072600055"
18023220,81581602,Rotatif,CB,2.4,1.0,2014-12-26 13:41:00,2014-12-26 14:41:00,112 AVENUE DE LA REPUBLIQUE,11,MIX,11F,4.0,"48.8632360004, 2.38443300021"
9324528,22150102,Rotatif,Paris Carte,3.6,1.5,2014-03-04 18:06:24,2014-03-04 19:36:24,6 RUE DES COLONELS RENARD,17,MIX,17E,2.4,"48.8777449999, 2.29088599979"
3416615,18871603,Rotatif,CB,4.8,2.0,2014-10-07 16:11:25,2014-10-07 18:11:25,15 BOULEVARD DE CHARONNE,11,ROT,11L,4.0,"48.84957, 2.39876799961"
13274541,86450205,Rotatif,Paris Carte,1.8,0.75,2014-02-27 11:14:18,2014-02-27 11:59:18,45 terre-plein BOULEVARD SAINT JACQUES,14,MIX,14H,2.4,"48.8325700002, 2.33797299989"
245365,32840202,Rotatif,CB,4.8,2.0,2014-03-09 12:46:45,2014-03-09 14:46:45,36 RUE D ENGHIEN,10,MIX,10F,4.0,"48.8722460002, 2.34959700012"
11363889,36520104,Résident,Paris Carte,3.25,50.0,2014-03-18 07:14:13,2014-03-24 20:00:00,20 RUE FIRMIN GEMIER,18,MIX,18P,2.4,"48.8950130002, 2.3304880001"
814977,99331302,Résident,Paris Carte,0.65,10.0,2014-01-09 09:52:08,2014-01-09 20:00:00,120 AVENUE DE WAGRAM,17,MIX,17J,2.4,"48.8839410001, 2.30263299941"
712741,86481401,Résident,Paris Carte,0.65,10.0,2014-01-09 08:38:16,2014-01-09 20:00:00,241 RUE SAINT JACQUES,5,MIX,5E,4.0,"48.8430550002, 2.34156000029"
19577887,68870102,Rotatif,CB,2.4,2.0,2014-11-20 10:29:44,2014-11-20 12:29:44,6 RUE OLIVIER MESSIAEN,13,MIX,13P,2.4,"48.8300250004, 2.3788799994"
22127096,94870703,Résident,CB,3.25,50.0,2014-10-25 18:52:54,2014-10-31 20:00:00,93 RUE TRUFFAUT,17,MIX,17R,2.4,"48.888848, 2.31643299979"
4579431,41100302,Rotatif,Paris Carte,7.2,2.0,2014-11-04 12:16:07,2014-11-04 14:16:07,20 AVENUE GEORGE V,8,MIX,8E,4.0,"48.8671280003, 2.30153899948"
18404149,44370704,Rotatif,CB,2.4,2.0,2014-12-18 09:59:36,2014-12-18 12:00:00,100 BOULEVARD DE LA GUYANE,12,MIX,12N,2.4,"48.8414939998, 2.41432700061"
7746983,72050102,Rotatif,Paris Carte,5.4,1.5,2014-04-15 17:34:29,2014-04-15 19:04:29,4 RUE PAYENNE,3,MIX,3E,4.0,"48.8574939998, 2.36199900036"
19831596,90700301,Résident,CB,3.25,50.0,2014-11-24 10:09:56,2014-01-12 10:09:56,9 RUE STANISLAS,6,MIX,6F,4.0,"48.8435659998, 2.32804500026"
24274778,78410102,Rotatif,CB,1.2,1.0,2014-09-26 17:01:50,2014-09-26 18:01:50,6 RUE PRISSE D AVENNES,14,MIX,14J,2.4,"48.8252610002, 2.3282969999"
364850,64900104,Résident,CB,0.65,10.0,2014-08-31 17:59:05,2014-01-09 20:00:00,8 RUE DE MONTEVIDEO,16,MIX,16L,2.4,"48.8670879997, 2.27370699934"
2591537,44851501,Rotatif,Paris Carte,7.2,2.0,2014-09-09 11:22:18,2014-09-09 13:22:18,77 BOULEVARD HAUSSMANN,8,ROT,8H,4.0,"48.8743530004, 2.32192699991"
266686,96611503,Rotatif,Paris Carte,2.4,2.0,2014-03-09 14:39:15,2014-03-09 16:39:15,227 RUE VERCINGETORIX,14,MIX,14K,2.4,"48.8299169999, 2.30751600061"
23562544,81620102,Rotatif,Paris Carte,1.2,1.0,2014-06-10 19:10:50,2014-06-10 20:10:50,6 RUE RESAL,13,MIX,13P,2.4,"48.8266479997, 2.37495099939"
4816832,72580602,Rotatif,CB,4.8,2.0,2014-05-06 16:58:24,2014-05-06 18:58:24,61 vis-à-vis BOULEVARD PEREIRE,17,MIX,17L,2.4,"48.8873680003, 2.30571599993"
1377748,65730104,Résident,CB,0.65,10.0,2014-09-16 14:21:14,2014-09-17 14:21:14,16 RUE DE MOSCOU,8,MIX,8L,4.0,"48.8803130002, 2.32571800003"
8129110,85520101,Rotatif,CB,7.2,2.0,2014-06-18 18:39:43,2014-06-18 20:39:43,5 RUE SAINTE ELISABETH,3,MIX,3E,4.0,"48.8659819999, 2.3595009996"
21382552,67320101,Rotatif,CB,1.8,0.5,2014-04-11 19:32:43,2014-04-11 20:02:43,5 RUE NEUVE SAINT PIERRE,4,MIX,34F,4.0,"48.8535600004, 2.36378500051"
23763744,37830102,Rotatif,CB,2.4,1.0,2014-09-24 16:02:52,2014-09-24 17:02:52,2 IMPASSE FRANCHEMONT,11,MIX,11K,4.0,"48.8533650003, 2.38351499955"
8239693,20301,Rotatif,CB,7.2,2.0,2014-04-04 15:54:42,2014-04-04 17:54:42,9 RUE DE L ABBAYE,6,MIX,6E,4.0,"48.8541990002, 2.33470999949"
25912,34651701,Rotatif,CB,1.5,1.25,2014-07-21 16:14:32,2014-07-21 17:29:32,68 terre-plein BOULEVARD EXELMANS,16,MIX,16Y,2.4,"48.8426939998, 2.26098899935"
24407096,99170102,Rotatif,CB,0.9,0.25,2014-09-29 20:28:30,2014-09-29 20:43:30,2 vis-à-vis PLACE DES VOSGES,4,MIX,34F,4.0,"48.8550479999, 2.36572199938"
20397037,20250101,Rotatif,CB,0.6,0.25,2014-11-28 09:51:47,2014-11-28 10:15:00,3 RUE CHRISTIAN DEWET,12,MIX,12H,2.4,"48.8461619996, 2.39281699934"
225223,95041602,Rotatif,CB,7.2,2.0,2014-02-09 14:49:08,2014-02-09 16:49:08,56 RUE DE TURBIGO,3,ROT,3E,4.0,"48.86575, 2.3577919999"
9649672,25842901,Résident,CB,3.25,50.0,2014-04-03 12:21:25,2014-11-03 11:21:25,239 AVENUE DAUMESNIL,12,MIX,12M,2.4,"48.8378029999, 2.40105600024"
5672151,63750101,Rotatif,CB,7.2,2.0,2014-05-06 16:09:51,2014-05-06 18:09:51,5 RUE DES MINIMES,3,MIX,34F,4.0,"48.8570950001, 2.36639199942"
11298901,66391201,Résident,Paris Carte,0.65,10.0,2014-03-25 06:35:28,2014-03-25 20:00:00,133 BOULEVARD MURAT,16,MIX,16Z,2.4,"48.8371070004, 2.26071399972"
18670212,82081504,Résident,CB,0.65,10.0,2014-12-17 10:26:19,2014-12-18 10:26:19,96 BOULEVARD RICHARD LENOIR,11,MIX,11H,4.0,"48.8634269998, 2.37164300066"
931651,23470304,Résident,Paris Carte,0.65,10.0,2014-09-16 10:45:58,2014-09-16 21:00:00,44 RUE CORTAMBERT,16,MIX,16N,2.4,"48.8607109996, 2.27863000034"
7405258,32270101,Rotatif,Paris Carte,0.9,0.75,2014-03-07 19:14:27,2014-03-07 19:59:27,3 RUE EMILE DUCLAUX,15,MIX,15H,2.4,"48.8433789997, 2.30824099964"
13383860,68600205,Rotatif,Paris Carte,2.7,0.75,2014-02-14 14:58:00,2014-02-14 15:43:00,19 AVENUE DE L OBSERVATOIRE,6,MIX,6G,4.0,"48.8426139999, 2.33752800004"
17098089,1050208,Rotatif,Paris Carte,2.4,2.0,2014-12-23 15:04:11,2014-12-23 17:04:11,36 RUE ALAIN,14,MIX,14N,2.4,"48.8357739999, 2.31526199989"
2666922,28540101,Rotatif,Paris Carte,0.3,0.25,2014-07-24 14:14:27,2014-07-24 14:29:27,7 RUE DU DOCTEUR LECENE,13,MIX,13M,2.4,"48.8226119997, 2.35333699958"
6466885,87480801,Rotatif,Paris Carte,2.4,1.0,2014-12-05 10:28:06,2014-12-05 11:28:06,53 RUE SAINT SABIN,11,MIX,11G,4.0,"48.8586340002, 2.36893700005"
20570452,60920101,Rotatif,Paris Carte,4.5,1.25,2014-10-11 12:17:17,2014-10-11 13:32:17,1 RUE MARINONI,7,MIX,7F,4.0,"48.8565359999, 2.3012499999"
22518135,81510302,Rotatif,CB,3.6,1.0,2014-10-17 19:52:38,2014-10-17 20:52:38,58 RUE DE RENNES,6,ROT,6E,4.0,"48.8529170004, 2.33218899988"
4235306,25540406,Rotatif,CB,2.4,2.0,2014-06-17 12:43:57,2014-06-17 14:43:57,22 RUE DE DANTZIG,15,MIX,15S,2.4,"48.8340490002, 2.29917699956"
18264067,76120504,Rotatif,Paris Carte,7.2,2.0,2014-12-15 10:05:56,2014-12-15 12:05:56,54 RUE DE PONTHIEU,8,ROT,8F,4.0,"48.8716200001, 2.30679900011"
34788,4570103,Rotatif,CB,1.8,0.75,2014-11-09 13:11:11,2014-11-09 13:56:11,7 RUE ARMAND MOISANT,15,MIX,15H,2.4,"48.8418560001, 2.31812600009"
10048310,13940701,Rotatif,Paris Carte,2.4,2.0,2014-04-16 13:09:34,2014-04-16 15:09:34,33 RUE DE LA BUTTE AUX CAILLES,13,MIX,13G,2.4,"48.8276240002, 2.34790699958"
19302161,46930208,Résident,Paris Carte,3.25,50.0,2014-01-20 12:57:03,2014-01-27 12:57:03,40 AVENUE D IENA,16,MIX,16H,2.4,"48.8666809997, 2.29519699994"
20720546,70671401,Rotatif,CB,0.6,0.25,2014-12-11 11:48:08,2014-12-11 12:03:08,119 AVENUE PARMENTIER,11,MIX,11E,4.0,"48.8686125603, 2.37203080031"
7817141,54220502,Rotatif,CB,2.4,2.0,2014-11-06 15:29:14,2014-11-06 17:29:14,72 RUE LEBLANC,15,MIX,15N,2.4,"48.8373229997, 2.27640299986"
6317253,89890101,Rotatif,CB,1.8,1.5,2014-04-24 13:46:10,2014-04-24 15:16:10,7 RUE SINGER,16,MIX,16P,2.4,"48.8554950002, 2.27867699934"
22050109,80390405,Rotatif,CB,2.4,2.0,2014-10-16 12:17:37,2014-10-16 14:17:37,36 vis-à-vis AVENUE RAPHAEL,16,MIX,16R,2.4,"48.8574629997, 2.2670040006"
17378721,23001002,Rotatif,Paris Carte,1.5,1.25,2014-06-01 12:57:47,2014-06-01 14:12:47,96 RUE DE LA CONVENTION,15,ROT,15W,2.4,"48.8416070002, 2.28638200022"
5309201,95272802,Rotatif,Paris Carte,0.35,0.1,2014-07-16 00:44:05,2014-07-16 11:15:00,228 RUE DE L UNIVERSITE,7,MIX,7E,4.0,"48.8597979997, 2.2962680003"
23255541,13940801,Rotatif,Paris Carte,0.3,0.25,2014-01-10 09:01:20,2014-01-10 10:15:00,19 RUE DE LA BUTTE AUX CAILLES,13,MIX,13L,2.4,"48.8276359998, 2.34969400065"
16701031,30980801,Rotatif,Paris Carte,7.2,2.0,2014-01-15 10:34:17,2014-01-15 12:34:17,44 vis-à-vis RUE DES ECOLES,5,MIX,5J,4.0,"48.849227, 2.34586500025"
4205187,68910302,Rotatif,Paris Carte,0.3,0.25,2014-03-09 12:14:09,2014-03-09 12:29:09,40 RUE OLIVIER METRA,20,MIX,20M,2.4,"48.8737749999, 2.39347799985"
10479349,53830602,Rotatif,Paris Carte,4.5,1.25,2014-06-13 14:44:33,2014-06-13 15:59:33,80 BOULEVARD DE LA TOUR MAUBOURG,7,MIX,7J,4.0,"48.8558670003, 2.30962399962"
11648362,59130102,Rotatif,Paris Carte,1.8,0.5,2014-01-30 09:52:51,2014-01-30 10:30:00,10 RUE DU MAIL,2,ROT,2E,4.0,"48.8665270001, 2.34194800001"
18697334,16040601,Rotatif,Paris Carte,4.8,2.0,2014-01-17 17:26:41,2014-01-17 19:26:41,23 PLACE DE CATALOGNE,14,MIX,14N,2.4,"48.837406, 2.31781000036"
15560740,28480102,Rotatif,CB,1.2,1.0,2014-10-01 12:15:48,2014-10-01 13:15:48,4 RUE DU DOCTEUR LANDOUZY,13,MIX,13M,2.4,"48.8231999996, 2.35380700043"
11988253,66950102,Rotatif,Paris Carte,4.2,1.75,2014-03-17 09:29:29,2014-03-17 11:45:00,0 AVENUE DES NATIONS UNIES,16,MIX,16K,2.4,"48.8599770002, 2.28896899977"
18452656,53560404,Résident,CB,3.25,50.0,2014-12-18 11:43:29,2014-12-26 11:43:29,50 RUE DE LA ROCHEFOUCAULD,9,MIX,9E,4.0,"48.879885, 2.33516500048"
988247,32070104,Rotatif,Paris Carte,1.8,1.5,2014-09-15 16:20:51,2014-09-15 17:50:51,10 BOULEVARD EMILE AUGIER,16,MIX,16N,2.4,"48.8590250004, 2.27358800065"
11745802,80730204,Rotatif,CB,7.2,2.0,2014-05-21 17:47:45,2014-05-21 19:47:45,32 RUE REAUMUR,3,ROT,3E,4.0,"48.8652060002, 2.35771700002"
13461283,36591207,Rotatif,CB,2.4,2.0,2014-02-18 11:30:45,2014-02-18 13:30:45,131 terre-plein AVENUE DE FLANDRE,19,ROT,19E,2.4,"48.8918529998, 2.37824899985"
12310472,56160202,Rotatif,Paris Carte,0.9,0.25,2014-02-23 22:03:09,2014-02-24 10:15:00,8 RUE DE LESDIGUIERES,4,MIX,34F,4.0,"48.8528010002, 2.36695100037"
9937653,89780904,Rotatif,Paris Carte,2.4,2.0,2014-03-06 10:04:47,2014-03-06 12:04:47,78 AVENUE SIMON BOLIVAR,19,MIX,19J,2.4,"48.8765710004, 2.37510600058"
14710077,72220101,Rotatif,Paris Carte,4.8,2.0,2014-05-12 18:40:45,2014-05-12 20:40:45,11 RUE PELEE,11,MIX,11G,4.0,"48.8597979996, 2.36991600019"
4268898,8321401,Rotatif,Paris Carte,1.5,0.63,2014-04-30 15:12:44,2014-04-30 15:50:14,112 terre-plein BOULEVARD DE BELLEVILLE,20,MIX,20E,2.4,"48.870954, 2.37818100029"
18007239,78310104,Résident,CB,3.25,50.0,2014-12-28 19:09:37,2015-05-01 21:00:00,8 bis RUE PRIMATICE,13,MIX,13J,2.4,"48.8334099998, 2.35546199932"
16601094,4870101,Rotatif,Paris Carte,4.5,1.25,2014-03-01 16:53:29,2014-03-01 18:08:29,9 RUE D ARTOIS,8,MIX,8F,4.0,"48.8725420004, 2.30829099946"
20461399,32400301,Rotatif,Paris Carte,1.2,1.0,2014-04-11 18:47:45,2014-04-11 19:47:45,17 AVENUE EMILE LAURENT,12,MIX,12N,2.4,"48.841145, 2.41192800042"
19635903,69181702,Rotatif,Paris Carte,6.4,1.78,2014-07-11 12:21:58,2014-07-11 14:21:58,29 QUAI DE LA TOURNELLE,5,ROT,5J,4.0,"48.8503835199, 2.35356140967"
3076358,13600401,Rotatif,CB,5.4,1.5,2014-08-21 16:37:22,2014-08-21 18:07:22,31 RUE DE BUCI,6,ROT,6E,4.0,"48.8534510002, 2.33625700007"
24342038,92020602,Rotatif,Paris Carte,4.8,2.0,2014-09-25 11:54:50,2014-09-25 13:54:50,80 AVENUE DES TERNES,17,ROT,17F,2.4,"48.8799770001, 2.28903800015"
2848612,36280101,Rotatif,Paris Carte,0.6,0.5,2014-07-16 12:17:33,2014-07-16 12:47:33,5 RUE DES FETES,19,MIX,19L,2.4,"48.8760789996, 2.39200699935"
14785996,31320101,Résident,CB,0.65,10.0,2014-02-19 14:24:23,2014-02-20 14:24:23,5 RUE EDMOND ROGER,15,MIX,15L,2.4,"48.8454689997, 2.29035799933"
6607495,57920204,Rotatif,Paris Carte,3.7,1.03,2014-05-21 10:30:45,2014-05-21 13:00:00,20 RUE LOUIS LE GRAND,2,MIX,2E,4.0,"48.8697269996, 2.33341599999"
18051283,87400201,Rotatif,Paris Carte,0.6,0.17,2014-04-12 17:30:04,2014-04-12 18:25:04,25 RUE SAINT ROCH,1,MIX,1E,4.0,"48.8654649998, 2.33224899996"
1590205,87182001,Rotatif,CB,1.5,1.25,2014-09-18 16:47:05,2014-09-18 18:02:05,147 AVENUE DE SAINT OUEN,17,ROT,17U,2.4,"48.8970619998, 2.32861300034"
6182357,59430101,Rotatif,Paris Carte,7.2,2.0,2014-04-29 17:23:47,2014-04-29 19:23:47,7 terre-plein QUAI MALAQUAIS,6,MIX,6E,4.0,"48.8577299996, 2.33560900025"
11529044,39670302,Rotatif,Paris Carte,1.2,1.0,2014-12-03 09:56:13,2014-12-03 11:00:00,36 RUE GASSENDI,14,MIX,14L,2.4,"48.8338389996, 2.32596200036"
7085812,81900101,Résident,Paris Carte,0.65,10.0,2014-04-24 11:09:29,2014-04-25 11:09:29,19 RUE RIBERA,16,MIX,16U,2.4,"48.8511070001, 2.26970099979"
18565156,11610402,Rotatif,Paris Carte,1.2,1.0,2014-04-12 12:52:37,2014-04-12 13:52:37,35 vis-à-vis RUE BOULAY,17,MIX,17T,2.4,"48.894497, 2.31806900006"
20602485,93620702,Rotatif,Paris Carte,1.2,0.5,2014-11-14 19:11:41,2014-11-14 19:41:41,76 RUE DE LA TOUR,16,ROT,16K,2.4,"48.8610650001, 2.27967800046"
18830670,34650102,Rotatif,Paris Carte,0.3,0.25,2014-11-18 08:24:45,2014-11-18 10:15:00,4 terre-plein BOULEVARD EXELMANS,16,MIX,16V,2.4,"48.840106, 2.26709500022"
8878224,57940102,Rotatif,CB,3.6,1.0,2014-04-14 15:04:21,2014-04-14 16:04:21,0 terre-plein central PLACE LOUIS LEPINE,4,ROT,4E,4.0,"48.855406, 2.34760900051"
13190867,98530503,Rotatif,CB,1.8,0.75,2014-02-27 18:10:30,2014-02-27 18:55:30,91 vis-à-vis BOULEVARD VINCENT AURIOL,13,ROT,13R,2.4,"48.8341950002, 2.3665160005"
23801424,71230201,Rotatif,CB,2.4,1.0,2014-01-10 14:27:46,2014-01-10 15:27:46,5 RUE PAUL BERT,11,MIX,11K,4.0,"48.8513429996, 2.38445500046"
17451073,38280501,Rotatif,CB,1.5,1.25,2014-12-17 17:41:28,2014-12-17 18:56:28,26 vis-à-vis RUE DE FRANQUEVILLE,16,MIX,16M,2.4,"48.8625570003, 2.26945100048"
13074624,95830101,Rotatif,Paris Carte,0.6,0.5,2014-06-03 09:39:06,2014-06-03 11:30:00,17 RUE VANDREZANNE,13,MIX,13L,2.4,"48.8279980001, 2.35554499949"
1056340,9131304,Rotatif,Paris Carte,1.8,1.5,2014-02-07 09:47:43,2014-02-07 11:30:00,172 BOULEVARD BERTHIER,17,MIX,17N,2.4,"48.8862589998, 2.29426500045"
4599906,59951101,Résident,Paris Carte,3.25,50.0,2014-06-20 18:01:56,2014-06-27 18:01:56,78 RUE DE LA CHAPELLE,18,MIX,18K,2.4,"48.8956647903, 2.3593447203"
7664780,39110201,Résident,CB,0.65,10.0,2014-04-24 21:09:23,2014-04-25 21:00:00,16 vis-à-vis RUE GAGER GABILLOT,15,MIX,15R,2.4,"48.8371320003, 2.305826"
20301072,45350102,Résident,Paris Carte,0.65,10.0,2014-11-25 11:28:37,2014-11-26 11:28:37,12 RUE HENRI BARBUSSE,5,MIX,5E,4.0,"48.8429350001, 2.33915100024"
20596024,84920306,Rotatif,CB,4.8,2.0,2014-11-18 17:38:58,2014-11-18 19:38:58,10 bis PLACE SAINT AUGUSTIN,8,MIX,8K,4.0,"48.8754380004, 2.31982900038"
17121313,86942401,Rotatif,CB,7.2,2.0,2014-07-02 16:31:22,2014-07-02 18:31:22,341 RUE SAINT MARTIN,3,ROT,3E,4.0,"48.8681650004, 2.35499000051"
13879677,88090102,Rotatif,CB,2.4,1.0,2014-12-12 12:18:51,2014-12-12 13:18:51,8 RUE DE LA SANTE,14,MIX,14P,2.4,"48.8375739999, 2.34190499936"
1429286,90640101,Résident,Paris Carte,3.25,50.0,2014-09-18 12:19:00,2014-09-25 12:19:00,9 RUE DU SQUARE CARPEAUX,18,MIX,18P,2.4,"48.892409, 2.33274199998"
7487173,76120202,Rotatif,CB,3.6,1.0,2014-04-25 17:29:26,2014-04-25 18:29:26,8 RUE DE PONTHIEU,8,ROT,8H,4.0,"48.870429, 2.31057100035"
7905643,54860102,Rotatif,CB,1.5,1.25,2014-03-22 11:19:51,2014-03-22 12:34:51,7 vis-à-vis RUE LHEUREUX,12,ROT,12F,2.4,"48.8324039998, 2.38845599975"
22390563,93620702,Rotatif,Paris Carte,2.4,1.0,2014-10-27 14:25:39,2014-10-27 15:25:00,76 RUE DE LA TOUR,16,ROT,16K,2.4,"48.8610650001, 2.27967800046"
7149080,11190701,Rotatif,Paris Carte,3.6,1.0,2014-12-03 15:18:45,2014-12-03 16:18:45,65 AVENUE BOSQUET,7,MIX,7J,4.0,"48.8558670001, 2.30507799953"
24238738,97770201,Résident,Paris Carte,0.65,10.0,2014-09-23 08:17:12,2014-09-23 21:00:00,5 RUE VIDAL DE LA BLACHE,20,MIX,20P,2.4,"48.869218, 2.41004799943"
13262231,49810104,Rotatif,CB,1.8,1.5,2014-02-18 16:43:52,2014-02-18 18:13:52,14 RUE JOBBE DUVAL,15,MIX,15S,2.4,"48.8345610003, 2.29867200059"
20115579,37031101,Rotatif,CB,4.8,2.0,2014-11-17 09:23:25,2014-11-17 12:00:00,51 RUE DE LA FOLIE REGNAULT,11,MIX,11J,4.0,"48.8604580003, 2.38616699994"
20104390,16570202,Rotatif,Paris Carte,3.0,1.25,2014-11-13 13:57:03,2014-11-13 15:12:03,8 AVENUE CESAR CAIRE,8,MIX,8K,4.0,"48.876466, 2.31960599981"
8702010,4870301,Rotatif,CB,2.7,0.75,2014-04-22 15:19:27,2014-04-22 16:04:27,29 RUE D ARTOIS,8,MIX,8F,4.0,"48.8735539999, 2.30669999941"
4113162,86450602,Résident,Paris Carte,0.35,5.38,2014-09-03 16:21:27,2014-03-14 20:00:00,52 terre-plein BOULEVARD SAINT JACQUES,14,MIX,14P,2.4,"48.8336939998, 2.33465299952"
4255949,66850602,Rotatif,Paris Carte,2.4,1.0,2014-10-07 15:10:16,2014-10-07 16:10:16,13 terre-plein PLACE DE LA NATION,11,MIX,11L,4.0,"48.8489030001, 2.39722399976"
